RT	Mass	Rank	DistFromMS2	noise	SWpval	derivChanges	zeroCounts	maxInt	rtWindow	kurtosis	skew	outsideInt	DistToInflPtL2R	DistToInflPtR2L
2681.14	2687.97	0	23.63154103	0	4.14E-06	2	2	2457.686279	10.5	5.166666667	1.619847741	0	1	1
2652.97	2655.95	0	22.17600663	2	4.14E-06	2	2	2797.314697	7.43	5.166666667	1.619847741	669.2188517	1	1
2482.35	2490.43	0	7.361351406	1	0.000804585	3	2	4221.058594	17.55	3.558123008	1.137571938	417.5934448	0.375	0.375
2646.12	2654.2	0	1.612743262	0	0.001279377	6	4	5574.885742	23.71	2.765394013	0.894610678	0	0.5	0.083333333
2714.84	2717.82	0	25.13445649	0	4.14E-06	2	2	1811.178467	7.1	5.166666667	1.619847741	0	1	1
2640.75	2643.96	0	0.588017134	0	4.14E-06	2	2	4686.839355	8.25	5.166666667	1.619847741	0	1	1
2691.56	2696.84	0	16.41399337	0	4.14E-06	2	2	2144.435547	9.88	5.166666667	1.619847741	0	1	1
2666.51	2671.31	0	8.885361918	0	4.14E-06	2	2	2141	9.12	5.166666667	1.619847741	0	1	1
2677.47	2681.14	0	19.96154103	0	4.14E-06	2	2	1839.668335	9.07	5.166666667	1.619847741	0	1	1
2645.1	2649.68	0	6.848164906	0	4.14E-06	2	2	2851.196289	7.31	5.166666667	1.619847741	0	1	1
2621.56	2628.55	0	18.61567869	0	4.14E-06	2	2	1460.015503	13.85	5.166666667	1.619847741	0	1	1
2627.47	2632.71	0	14.2147719	0	4.14E-06	2	2	1497.170776	10.26	5.166666667	1.619847741	0	1	1
2524.43	2529.73	0	18.23822088	0	4.14E-06	2	2	1558.761475	11.5	5.166666667	1.619847741	0	1	1
2680.08	2684.69	0	3.916166097	0	4.14E-06	2	2	5482.842773	7.61	5.166666667	1.619847741	0	1	1
2673.8	2684.71	0	8.613919159	1	3.37E-05	4	3	3573.840088	14.07	3.008706545	1.163757573	366.5634766	0.375	0.375
2673.05	2681.99	0	8.335385004	3	0.000128636	2	2	2950.015137	14.07	2.477516675	0.975852383	941.2456055	0.857142857	0.857142857
2746.79	2753.29	0	15.71363558	0	4.14E-06	2	2	7091.721191	13.37	5.166666667	1.619847741	0	1	1
2754.97	2759.83	0	21.45106555	0	4.14E-06	2	2	2060.947266	8.46	5.166666667	1.619847741	0	1	1
2670.76	2677.4	0	2.254066579	0	4.14E-06	2	2	2636.133057	11.77	5.166666667	1.619847741	0	1	1
2836.95	2842.16	0	22.79351559	0	4.14E-06	2	2	5435.658691	11.81	5.166666667	1.619847741	0	1	1
2765.6	2773.7	0	18.47103693	2	0.000284654	2	2	7833.543457	11.96	4.863660223	1.475201467	991.0484924	0.375	0.375
2783.36	2790.33	0	22.73085398	0	4.14E-06	2	2	6922.287598	14.07	5.166666667	1.619847741	0	1	1
2743.87	2749.53	0	7.158317197	0	0.001645315	6	4	6402.48584	22.3	3.129829249	1.006868651	0	0.230769231	0.230769231
2743.25	2746.95	0	3.363169873	0	4.14E-06	2	2	5860.664551	8.43	5.166666667	1.619847741	0	1	1
2742.28	2747.95	0	12.48953958	4	4.14E-06	3	2	4981.335449	9.47	5.166666667	1.619847741	2178.955546	1	1
2899.94	2907.58	0	17.11388009	1	2.45E-05	4	3	2723.356201	13.81	2.834441714	1.129451979	313.8703308	0.375	0.375
2948.09	2952.41	0	22.76739763	0	4.14E-06	2	2	4867.340332	9.38	5.166666667	1.619847741	0	1	1
2860.22	2865.12	0	23.21094821	0	0.00015106	2	2	2547.717773	8.12	2.586558251	0.999217216	0	0.857142857	0.857142857
2980.82	2985.27	0	10.35788319	0	4.14E-06	2	2	5484.303711	8.79	5.166666667	1.619847741	0	1	1
2958.86	2962.63	0	19.96793914	0	4.14E-06	2	2	2779.800537	7.3	5.166666667	1.619847741	0	1	1
2903.73	2908.56	0	10.17300294	0	4.14E-06	2	2	2292.757568	8.15	5.166666667	1.619847741	0	1	1
1628.36	1631.41	0	9.926935078	0	4.14E-06	2	2	21408.375	6.37	5.166666667	1.619847741	0	1	1
1802.09	1803.83	0	2.847499291	0	4.14E-06	2	2	20580.98828	5.53	5.166666667	1.619847741	0	1	1
1818.81	1821.34	0	5.615643731	0	4.14E-06	2	2	25183.87695	4.91	5.166666667	1.619847741	0	1	1
1781.23	1785.19	0	27.47747344	0	0.000255264	4	3	38559.98828	10.11	3.625050412	1.202626694	0	0.333333333	0.333333333
1799.61	1803.62	0	21.0475974	1	4.14E-06	2	2	17803.23828	6.76	5.166666667	1.619847741	2501.914551	1	1
1789.87	1793.03	0	24.87868359	2	4.14E-06	3	2	36143.16797	5.63	5.166666667	1.619847741	7464.453776	1	1
1797.01	1799.96	0	24.88393743	0	0.00010611	6	4	29186.4043	12.21	3.638744972	1.29063913	0	0.454545455	0.272727273
2005.13	2013.24	0	16.99	2	6.07E-06	4	3	42940.10156	11.51	5.84423744	1.776830176	6171.263889	0.888888889	0.888888889
1991.66	1999.31	0	13.54	0	1.97E-05	6	4	46954.75391	14.74	5.563459345	1.684285276	0	0.3	0.3
1996.71	2001.55	0	23.67287824	0	4.14E-06	2	2	54137.52344	9.16	5.166666667	1.619847741	0	1	1
2009.16	2013.85	0	14.4816832	1	0.000139755	2	2	29562.87695	11.65	2.52693341	0.98642879	2228.80399	0.857142857	0.857142857
2015.33	2020.26	0	10.72594252	1	4.14E-06	2	2	20242.87891	10.23	5.166666667	1.619847741	2682.986328	1	1
2027.32	2032.07	0	3.597986417	0	4.14E-06	2	2	11071.4209	8.99	5.166666667	1.619847741	0	1	1
2014.82	2019.33	0	9.155739494	0	4.14E-06	2	2	9108.527344	9.98	5.166666667	1.619847741	0	1	1
2007.7	2012.21	0	25.05729671	0	4.14E-06	2	2	16335.85352	8.7	5.166666667	1.619847741	0	1	1
